symbol,year_id,year_label,sort_order,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_assets,total_assets,debt_to_equity,equity_ratio,book_value_per_share
ADANIENT,39,Mar 2023,20234,114.0,32937,53200,55027,141278,56881,24025,6310,54062,141278,1.6096335965628876,0.23394300598819348,289.92105263157896
ADANIENT,41,Mar 2024,20244,114.0,38962,65310,56200,160586,65978,35180,8701,50728,160586,1.671358378544375,0.24333378999414643,342.7719298245614
ADANIENT,40,Sep 2024,20242,114.0,41782,80427,59445,181768,84751,29745,10322,56949,181768,1.91968206988734,0.23049161568592932,367.50877192982455
ADANIGREEN,21,Mar 2017,20174,1274.0,-71,4347,610,6160,4341,267,26,1525,6160,3.6134663341645887,0.1952922077922078,9.442700156985872
ADANIGREEN,24,Mar 2018,20184,1564.0,-223,9864,4503,15709,9120,1725,87,4777,15709,7.355704697986577,0.0853650773441976,8.574168797953964
ADANIGREEN,27,Mar 2019,20194,1564.0,369,11142,1582,14658,10388,743,77,3449,14658,5.764097258147957,0.1318733797243826,12.35933503836317
ADANIGREEN,30,Mar 2020,20204,1564.0,793,14866,1201,18424,12554,1208,476,4186,18424,6.307170131523122,0.12793095961788972,15.070332480818413
ADANIGREEN,33,Mar 2021,20214,1564.0,636,24209,2283,28692,16429,4452,502,7309,28692,11.004090909090909,0.0766764254844556,14.066496163682864
ADANIGREEN,36,Mar 2022,20224,1564.0,1050,52832,3508,58954,28452,19999,574,10029,58954,20.211170619739864,0.04433965464599518,16.713554987212277
ADANIGREEN,39,Mar 2023,20234,1584.0,5720,54223,5382,66909,48336,5291,1149,12133,66909,7.423740416210296,0.10916319179781495,46.11111111111111
ADANIGREEN,41,Mar 2024,20244,1584.0,8250,64858,13394,88086,62284,6427,1515,17860,88086,6.595281675818589,0.11164089639670322,62.08333333333333
ADANIGREEN,40,Sep 2024,20242,1584.0,8992,67430,20252,98258,64632,14617,2331,16678,98258,6.375756429652042,0.10763500173013903,66.76767676767676
ADANIPORTS,7,Mar 2013,20134,401.0,5993,11620,3022,21035,11382,2951,222,6480,21035,1.817328745699093,0.30396957451865936,31.890274314214462
ADANIPORTS,11,Mar 2014,20144,414.0,8351,12979,2933,24677,13163,2025,63,9426,24677,1.4807758128921849,0.355189042428172,42.34299516908212
ADANIPORTS,15,Mar 2015,20154,414.0,10351,17776,3541,32082,20527,1276,260,10020,32082,1.651277287505806,0.335546412318434,52.00483091787439
ADANIPORTS,18,Mar 2016,20164,414.0,13091,22342,2538,38385,20883,1967,545,14990,38385,1.6543502406516104,0.35183014198254525,65.2415458937198
ADANIPORTS,21,Mar 2017,20174,414.0,17112,22214,3629,43369,21054,4514,1161,16641,43369,1.2674883030925481,0.40411353731928334,84.66666666666667
ADANIPORTS,24,Mar 2018,20184,414.0,20489,22370,3960,47233,22670,4545,1079,18938,47233,1.0701813136870306,0.44255075900323926,100.98067632850241
ADANIPORTS,27,Mar 2019,20194,414.0,23958,27712,4228,56311,28121,4483,782,22924,56311,1.1370425077958313,0.4328106409049742,117.73913043478261
ADANIPORTS,30,Mar 2020,20204,406.0,25051,30242,6217,61917,32715,3216,1178,24808,61917,1.1879640177554307,0.4111471809034675,125.4039408866995
ADANIPORTS,33,Mar 2021,20214,406.0,30035,35855,8285,74582,48291,3697,2236,20358,74582,1.1778522387569397,0.4081547826553324,149.95566502463055
ADANIPORTS,36,Mar 2022,20224,422.0,41399,47935,8572,98328,62553,4023,3161,28591,98328,1.1461944955883407,0.42532137336262305,198.2037914691943
ADANIPORTS,39,Mar 2023,20234,432.0,44957,53434,13740,112563,72224,6637,7432,26271,112563,1.1772455881380952,0.40323196787576737,210.13425925925927
ADANIPORTS,41,Mar 2024,20244,432.0,52346,49470,14751,116999,75148,10936,4289,26627,116999,0.9373223691689719,0.45109787263139,244.34259259259258
ADANIPORTS,40,Sep 2024,20242,432.0,56744,50485,18354,126015,79136,13328,4489,29062,126015,0.882975374282916,0.4537237630440821,264.7037037037037
ADANIPOWER,7,Mar 2013,20134,2393.0,1900,41795,8599,54688,29089,18976,22,6600,54688,9.735616119263918,0.07849985371562317,17.939824488090263
ADANIPOWER,11,Mar 2014,20144,2872.0,3671,44150,8045,58739,46365,3660,115,8599,58739,6.747669264863212,0.11139106896610429,22.782033426183844
ADANIPOWER,15,Mar 2015,20154,2872.0,2853,44742,8008,58474,45080,191,357,12846,58474,7.815196506550218,0.09790676197968327,19.933844011142064
ADANIPOWER,18,Mar 2016,20164,3334.0,4134,52729,15597,75794,56941,88,0,18765,75794,7.06065881092662,0.0985302266670185,22.399520095980805
ADANIPOWER,21,Mar 2017,20174,3857.0,-857,52484,16027,71511,54391,125,164,16831,71511,17.494666666666667,0.04195158786760079,7.7780658542909
ADANIPOWER,24,Mar 2018,20184,3857.0,-2968,52835,15804,69528,52137,120,0,17271,69528,59.43194600674916,0.012786215625359568,2.3049001814882035
ADANIPOWER,27,Mar 2019,20194,3857.0,3855,46980,13293,67985,50419,350,3,17213,67985,6.091804979253112,0.1134367875266603,19.99481462276381
ADANIPOWER,30,Mar 2020,20204,3857.0,2624,55199,13346,75025,55846,2347,3,16830,75025,8.517049837987965,0.08638453848717094,16.80321493388644
ADANIPOWER,33,Mar 2021,20214,3857.0,9256,52519,13175,78806,52851,6439,20,19495,78806,4.005109433386716,0.1663959596985001,33.99792584910552
ADANIPOWER,36,Mar 2022,20224,3857.0,14600,49145,14379,81981,53274,10270,183,18254,81981,2.662675407704394,0.22513753186713995,47.85325382421571
ADANIPOWER,39,Mar 2023,20234,3857.0,26019,42350,13596,85821,51451,12880,654,20836,85821,1.4175257731958764,0.3481199240279186,77.45916515426498
ADANIPOWER,41,Mar 2024,20244,3857.0,39288,34616,14248,92009,63016,925,374,27694,92009,0.8023177656738903,0.4689215185470986,111.86155042779363
ADANIPOWER,40,Sep 2024,20242,3857.0,52097,37705,17125,110784,71147,9455,321,29863,110784,0.6738570969010258,0.5050729347198152,145.07129893699766
AMBUJACEM,3,Dec 2012,20123,308.0,8489,60,3487,12345,5951,524,1581,4289,12345,0.006820506991019666,0.7125961927906035,57.12337662337662
AMBUJACEM,6,Dec 2013,20133,309.0,9153,48,3446,12956,6147,698,1714,4399,12956,0.0050729232720355105,0.7303179993825255,61.24271844660194
AMBUJACEM,10,Dec 2014,20143,310.0,9760,34,3774,13878,6310,692,2097,4780,13878,0.0033763654419066533,0.7256088773598501,64.96774193548387
AMBUJACEM,14,Dec 2015,20153,310.0,9961,35,3827,14133,6170,416,2149,5398,14133,0.0034076526141563626,0.7267388381801457,66.26451612903226
AMBUJACEM,17,Dec 2016,20163,397.0,19424,29,12974,32824,21410,582,175,10657,32824,0.00146309469754301,0.6038569339507678,99.85390428211586
AMBUJACEM,20,Dec 2017,20173,397.0,20275,24,14813,35509,20898,667,153,13791,35509,0.0011609907120743034,0.5821622687206061,104.14105793450882
AMBUJACEM,23,Dec 2018,20183,397.0,21973,40,14981,37391,20636,1008,133,15613,37391,0.001788109074653554,0.5982723115188147,112.69521410579345
AMBUJACEM,26,Dec 2019,20193,397.0,23681,41,16059,40178,20701,1554,150,17773,40178,0.0017027992358169283,0.5992831898053661,121.29974811083123
AMBUJACEM,29,Dec 2020,20203,397.0,22360,471,16490,39718,20486,2422,167,16643,39718,0.02069692841762974,0.572964399013042,114.64483627204031
AMBUJACEM,32,Dec 2021,20213,397.0,24957,477,19374,45205,22254,2168,198,20585,45205,0.01881359943204228,0.5608671607123106,127.727959697733
AMBUJACEM,39,Mar 2023,20234,397.0,31301,523,19501,51721,23551,2526,214,25430,51721,0.016499463688560794,0.6128651804876163,159.68765743073047
AMBUJACEM,41,Mar 2024,20244,440.0,41016,699,23107,65261,32388,2658,849,29365,65261,0.01686125048243921,0.6352339069275678,188.43636363636364
AMBUJACEM,40,Sep 2024,20242,493.0,49883,779,25417,76572,40857,6472,2223,27019,76572,0.015463712879148802,0.6578906127566212,204.36511156186612
APOLLOHOSP,7,Mar 2013,20134,70.0,2677,1213,854,4814,2341,403,527,1543,4814,0.4415726246814707,0.5706273369339426,196.21428571428572
APOLLOHOSP,11,Mar 2014,20144,70.0,2907,1344,1029,5350,2681,491,322,1855,5350,0.4514612025529056,0.5564485981308411,212.64285714285714
APOLLOHOSP,15,Mar 2015,20154,70.0,3102,1992,1296,6459,3244,533,311,2372,6459,0.6279949558638083,0.49109769314135315,226.57142857142858
APOLLOHOSP,18,Mar 2016,20164,70.0,3262,2834,1195,7360,3997,562,352,2448,7360,0.8505402160864346,0.45271739130434785,238.0
APOLLOHOSP,21,Mar 2017,20174,70.0,3244,3125,1665,8103,4591,347,406,2759,8103,0.9429692214846107,0.408984326792546,236.71428571428572
APOLLOHOSP,24,Mar 2018,20184,70.0,3182,3427,1917,8596,4773,712,352,2759,8596,1.0538130381303814,0.37831549557933924,232.28571428571428
APOLLOHOSP,27,Mar 2019,20194,70.0,3264,3673,2159,9166,4982,822,462,2901,9166,1.1016796640671866,0.3637355444032293,238.14285714285714
APOLLOHOSP,30,Mar 2020,20204,70.0,3270,3596,4354,11289,7432,236,434,3187,11289,1.0766467065868264,0.29586322969262113,238.57142857142858
APOLLOHOSP,33,Mar 2021,20214,72.0,4531,4160,2629,11392,6778,234,1343,3037,11392,0.9037584184227677,0.4040554775280899,319.65277777777777
APOLLOHOSP,36,Mar 2022,20224,72.0,5551,4068,3570,13261,8296,46,816,4104,13261,0.723457229237062,0.42402533745569715,390.4861111111111
APOLLOHOSP,39,Mar 2023,20234,72.0,6126,4332,3886,14416,8520,610,574,4712,14416,0.6989351403678606,0.4299389567147614,430.41666666666663
APOLLOHOSP,41,Mar 2024,20244,72.0,6864,5333,4474,16742,9664,873,986,5219,16742,0.7688869665513264,0.4142874208577231,481.66666666666663
APOLLOHOSP,40,Sep 2024,20242,72.0,7429,7371,4676,19548,10201,1042,1012,7293,19548,0.9826689774696707,0.3837221199099652,520.9027777777777
ASIANPAINT,7,Mar 2013,20134,96.0,3288,251,3149,6784,2441,59,296,3989,6784,0.0741725768321513,0.4988207547169811,35.25
ASIANPAINT,11,Mar 2014,20144,96.0,3943,249,3787,8075,2562,72,1424,4019,8075,0.06164892300074276,0.5001857585139319,42.072916666666664
ASIANPAINT,15,Mar 2015,20154,96.0,4646,418,3754,8914,2660,196,1588,4471,8914,0.08814846056516237,0.5319721785954677,49.395833333333336
ASIANPAINT,18,Mar 2016,20164,96.0,6429,323,3711,10559,3416,107,2712,4324,10559,0.04950191570881226,0.6179562458566152,67.96875
ASIANPAINT,21,Mar 2017,20174,96.0,7508,560,4241,12405,3304,258,2652,6192,12405,0.07364544976328248,0.6129786376461105,79.20833333333333
ASIANPAINT,24,Mar 2018,20184,96.0,8314,533,4820,13763,3732,1405,2141,6485,13763,0.0633769322235434,0.6110586354719174,87.60416666666667
ASIANPAINT,27,Mar 2019,20194,96.0,9375,1320,5459,16249,6497,210,2569,6974,16249,0.13937282229965156,0.5828666379469506,98.65625
ASIANPAINT,30,Mar 2020,20204,96.0,10034,1118,4889,16138,6272,140,2019,7707,16138,0.11036525172754195,0.6277109926880654,105.52083333333333
ASIANPAINT,33,Mar 2021,20214,96.0,12710,1093,6456,20355,5859,183,4737,9577,20355,0.0853506168983289,0.6291328911815279,133.39583333333334
ASIANPAINT,36,Mar 2022,20224,96.0,13716,1587,7560,22958,5519,426,3248,13765,22958,0.11490008688097307,0.6016203502047217,143.875
ASIANPAINT,39,Mar 2023,20234,96.0,15896,1933,7854,25779,5770,1020,4262,14728,25779,0.12087293646823412,0.6203498972031498,166.58333333333334
ASIANPAINT,41,Mar 2024,20244,96.0,18632,2474,8698,29901,7147,2698,4588,15468,29901,0.1321016659547202,0.6263335674392161,195.08333333333334
ASIANPAINT,40,Sep 2024,20242,96.0,17928,2516,8934,29474,7879,2272,3695,15629,29474,0.13959165557035064,0.611522019406935,187.75
ATGL,24,Mar 2018,20184,257.0,759,1345,442,2803,897,102,180,1624,2803,1.3238188976377954,0.3624687834463075,3.953307392996109
ATGL,27,Mar 2019,20194,110.0,992,394,552,2048,980,190,176,701,2048,0.35753176043557167,0.5380859375,10.018181818181818
ATGL,30,Mar 2020,20204,110.0,1361,428,577,2476,1198,342,282,655,2476,0.2909585316111489,0.5941033925686591,13.372727272727273
ATGL,33,Mar 2021,20214,110.0,1824,529,741,3204,1379,696,417,711,3204,0.27352637021716647,0.6036204744069913,17.581818181818182
ATGL,36,Mar 2022,20224,110.0,2306,1035,964,4415,1733,1171,634,878,4415,0.4283940397350993,0.5472253680634201,21.963636363636365
ATGL,39,Mar 2023,20234,110.0,2831,1422,1282,5645,2335,1619,682,1010,5645,0.48350901054063244,0.520992028343667,26.736363636363638
ATGL,41,Mar 2024,20244,110.0,3470,1557,1454,6592,3174,1502,706,1209,6592,0.43491620111731844,0.5430825242718447,32.54545454545455
ATGL,40,Sep 2024,20242,110.0,3801,1457,1474,6842,3421,1527,922,974,6842,0.3725389925850166,0.5716164864074832,35.554545454545455
AXISBANK,7,Mar 2013,20134,468.0,32690,296254,11145,340558,2245,142,113378,224792,340558,8.93461608058387,0.09736373833532026,141.7008547008547
AXISBANK,11,Mar 2014,20144,470.0,37926,333280,14674,386350,2346,102,113093,270810,386350,8.680070840712574,0.09938138993140934,163.3872340425532
AXISBANK,15,Mar 2015,20154,474.0,44475,406638,15656,467243,2447,105,118527,346164,467243,9.046652873256358,0.09620047812380282,189.65822784810126
AXISBANK,18,Mar 2016,20164,477.0,53082,472150,20678,546387,3358,216,131399,411414,546387,8.815511865419444,0.09802392809492173,224.56603773584905
AXISBANK,21,Mar 2017,20174,479.0,55901,527437,27644,611462,3518,292,129018,478633,611462,9.355037247250799,0.0922052392462655,235.4070981210856
AXISBANK,24,Mar 2018,20184,513.0,63694,611425,28071,703703,3697,352,153037,546618,703703,9.522715591757908,0.09124161755740703,250.3196881091618
AXISBANK,27,Mar 2019,20194,514.0,67288,711996,34248,814046,3842,288,174056,635860,814046,10.501106162060116,0.08329013348140031,263.82101167315176
AXISBANK,30,Mar 2020,20204,564.0,85776,797337,44194,927872,3912,483,155282,768196,927872,9.234850590687978,0.09305162781073252,306.17021276595744
AXISBANK,33,Mar 2021,20214,613.0,102981,850551,46859,1001005,4501,118,225336,771050,1001005,8.210427244821128,0.10348999255747973,337.99021207177816
AXISBANK,36,Mar 2022,20224,614.0,117647,1020943,56576,1195779,4753,215,274608,916203,1195779,8.632964375406939,0.0988987095441549,385.214983713355
AXISBANK,39,Mar 2023,20234,615.0,129166,1152038,62598,1344418,5000,142,288095,1051181,1344418,8.876784737365254,0.0965332210666623,422.0520325203252
AXISBANK,41,Mar 2024,20244,617.0,156406,1295302,65913,1518239,5860,267,332354,1179758,1518239,8.249122739980766,0.10342442790627826,508.98865478119933
BAJAJ-AUTO,7,Mar 2013,20134,289.0,7776,116,4461,12642,2355,294,6059,3934,12642,0.014383137011779294,0.637952855560829,279.06574394463667
BAJAJ-AUTO,11,Mar 2014,20144,289.0,9878,59,5081,15308,2660,144,8448,4056,15308,0.0058030884233303826,0.6641625293963941,351.7993079584775
BAJAJ-AUTO,15,Mar 2015,20154,289.0,10806,112,4758,15966,2448,255,8985,4277,15966,0.010094637223974764,0.6949141926594012,383.91003460207617
BAJAJ-AUTO,18,Mar 2016,20164,289.0,13731,118,3102,17240,2026,52,11067,4095,17240,0.008416547788873038,0.8132250580046404,485.121107266436
BAJAJ-AUTO,21,Mar 2017,20174,289.0,17567,120,3661,21638,2002,42,15477,4117,21638,0.006720430107526882,0.8252148997134671,617.8546712802769
BAJAJ-AUTO,24,Mar 2018,20184,289.0,20136,121,4595,25141,1878,56,18895,4312,25141,0.005924112607099143,0.812417962690426,706.7474048442907
BAJAJ-AUTO,27,Mar 2019,20194,289.0,22944,125,5476,28834,1764,48,20603,6420,28834,0.005380278052769767,0.8057501560657557,803.9100346020762
BAJAJ-AUTO,30,Mar 2020,20204,289.0,21373,126,4722,26510,1699,60,19914,4837,26510,0.005816637429600221,0.8171256129762354,749.5501730103806
BAJAJ-AUTO,33,Mar 2021,20214,289.0,26984,121,6207,33602,1668,16,24687,7232,33602,0.0044366223004436624,0.8116481161835605,943.7024221453288
BAJAJ-AUTO,36,Mar 2022,20224,289.0,29570,123,5129,35111,1836,77,26634,6564,35111,0.004119360996684417,0.8504172481558486,1033.1833910034602
BAJAJ-AUTO,39,Mar 2023,20234,283.0,29079,124,5651,35136,2842,85,26183,6026,35136,0.004223145562291397,0.8356671220400729,1037.5265017667843
BAJAJ-AUTO,41,Mar 2024,20244,279.0,28683,1912,8470,39344,3217,35,28087,8005,39344,0.06601754022512257,0.7361224074827165,1038.0645161290322
BAJAJ-AUTO,40,Sep 2024,20242,279.0,30700,5245,9618,45842,3214,141,28552,13934,45842,0.16930824106652895,0.675777671131277,1110.358422939068
BAJAJFINSV,7,Mar 2013,20134,80.0,7722,12991,44578,65370,1208,2,43251,20910,65370,1.6650858754165598,0.11935138442710723,97.525
BAJAJFINSV,11,Mar 2014,20144,80.0,9232,19507,45565,74383,1262,1,45314,27805,74383,2.0948238831615122,0.12518989554064772,116.4
BAJAJFINSV,15,Mar 2015,20154,80.0,11009,26312,50827,88228,1261,3,51367,35598,88228,2.372801875732708,0.12568572335313052,138.6125
BAJAJFINSV,18,Mar 2016,20164,80.0,13519,36062,54290,103951,1274,11,53698,48969,103951,2.651812633281859,0.130821252320805,169.9875
BAJAJFINSV,21,Mar 2017,20174,80.0,16071,48282,64181,128614,1645,4,62658,64306,128614,2.989412420283574,0.12557730884662635,201.8875
BAJAJFINSV,24,Mar 2018,20184,80.0,20403,65695,75337,161514,1792,28,69428,90266,161514,3.2072938534394377,0.1268187277883032,256.0375
BAJAJFINSV,27,Mar 2019,20194,80.0,23660,99754,84934,208428,2097,66,81679,124587,208428,4.201937657961246,0.11390024372924942,296.75
BAJAJFINSV,30,Mar 2020,20204,80.0,31222,127212,92791,251304,3216,45,91821,156223,251304,4.0640214682767875,0.12455830388692579,391.275
BAJAJFINSV,33,Mar 2021,20214,80.0,35750,128461,115554,279845,3182,129,113654,162879,279845,3.585291655037678,0.12803516232199968,447.875
BAJAJFINSV,36,Mar 2022,20224,80.0,40167,161179,131987,333413,3586,113,119222,210493,333413,4.004745695331329,0.12071214979619871,503.0875
BAJAJFINSV,39,Mar 2023,20234,159.0,46248,212265,146729,405401,4336,191,136176,264698,405401,4.573986683043507,0.11447184392737068,291.8679245283019
BAJAJFINSV,41,Mar 2024,20244,159.0,60169,288933,188154,537415,5455,220,168385,363355,537415,4.789368120938867,0.11225589162937395,379.42138364779873
BAJAJFINSV,40,Sep 2024,20242,160.0,68165,318675,214195,601195,6048,105,185250,409792,601195,4.66410537870472,0.11364864977253636,427.03125
BAJAJHLDNG,7,Mar 2013,20134,111.0,10234,0,430,10775,532,0,9577,666,10775,0.0,0.960092807424594,931.981981981982
BAJAJHLDNG,11,Mar 2014,20144,111.0,11888,0,449,12448,532,0,11325,592,12448,0.0,0.9639299485861182,1080.9909909909911
BAJAJHLDNG,15,Mar 2015,20154,111.0,13282,0,500,13893,544,0,13078,271,13893,0.0,0.9640106528467574,1206.5765765765766
BAJAJHLDNG,18,Mar 2016,20164,111.0,15182,0,178,15472,544,0,13276,1651,15472,0.0,0.9884307135470527,1377.7477477477478
BAJAJHLDNG,21,Mar 2017,20174,111.0,17707,0,71,17889,222,0,17364,302,17889,0.0,0.9960310805522947,1605.2252252252254
BAJAJHLDNG,24,Mar 2018,20184,111.0,25090,0,68,25269,215,0,24575,478,25269,0.0,0.9973089556373422,2270.3603603603606
BAJAJHLDNG,27,Mar 2019,20194,111.0,26841,0,56,27008,193,0,26257,558,27008,0.0,0.9979265402843602,2428.1081081081084
BAJAJHLDNG,30,Mar 2020,20204,111.0,27652,168,4797,32729,374,0,32068,287,32729,0.006051219248640277,0.8482691191298237,2501.1711711711714
BAJAJHLDNG,33,Mar 2021,20214,111.0,37056,136,8186,45490,342,0,44914,234,45490,0.0036591600075335648,0.8170367113651352,3348.3783783783783
BAJAJHLDNG,36,Mar 2022,20224,111.0,42731,114,10632,53588,310,0,52964,314,53588,0.0026609401988702676,0.7994700306038666,3859.63963963964
BAJAJHLDNG,39,Mar 2023,20234,111.0,44071,93,8913,53188,278,0,52555,355,53188,0.0021049296093431716,0.8306760923516583,3980.3603603603606
BAJAJHLDNG,41,Mar 2024,20244,111.0,54136,63,10851,65161,244,0,64715,203,65161,0.0011613545449517945,0.8325071745369163,4887.117117117117
BAJAJHLDNG,40,Sep 2024,20242,111.0,59712,47,12662,72533,227,0,71252,1054,72533,0.0007856510037945271,0.8247694153006218,5389.45945945946
BAJFINANCE,15,Mar 2015,20154,50.0,4750,26655,1325,32780,252,0,326,32201,32780,5.553125,0.1464307504575961,192.0
BAJFINANCE,18,Mar 2016,20164,54.0,7373,37025,2522,46973,290,0,1029,45654,46973,4.985189174633096,0.15811210695505928,275.0740740740741
BAJFINANCE,21,Mar 2017,20174,109.0,9491,49250,4881,63731,366,0,4070,59295,63731,5.130208333333333,0.15063312987400165,176.14678899082568
BAJFINANCE,24,Mar 2018,20184,115.0,15733,66557,2393,84798,470,0,3139,81189,84798,4.1997097425542655,0.18689120026415718,275.61739130434785
BAJFINANCE,27,Mar 2019,20194,115.0,19582,101588,2948,124233,695,0,8599,114939,124233,5.1575366807127985,0.1585488557790603,342.55652173913046
BAJFINANCE,30,Mar 2020,20204,120.0,32208,129806,2257,164391,1321,0,17544,145526,164391,4.015280871071517,0.19665310144715953,538.8
BAJFINANCE,33,Mar 2021,20214,120.0,36798,131634,2918,171470,1316,51,18397,151707,171470,3.5655777669429547,0.21530296844929142,615.3
BAJFINANCE,36,Mar 2022,20224,121.0,43592,165232,3562,212506,1716,34,12246,198510,212506,3.779928167821929,0.2057024272255842,722.5289256198347
BAJFINANCE,39,Mar 2023,20234,121.0,54251,216690,4164,275226,2308,80,22752,250087,275226,3.985323328183624,0.19755401015892393,898.7107438016529
BAJFINANCE,41,Mar 2024,20244,124.0,76572,293346,5700,375742,3250,43,30881,341568,375742,3.824788776468134,0.20411878363345062,1237.032258064516
BAJFINANCE,40,Sep 2024,20242,124.0,86679,324218,9635,420656,3423,29,31036,386167,420656,3.7351013213829014,0.20635150812064965,1400.0483870967741
BANKBARODA,7,Mar 2013,20134,423.0,32859,509192,16914,559387,2550,0,125617,431220,559387,15.299320954269575,0.05949727111999385,157.36170212765958
BANKBARODA,11,Mar 2014,20144,431.0,37416,616973,21284,676104,2849,0,122113,551142,676104,16.301767643406347,0.05597807437908961,175.62412993039442
